"domainID","siteID","horizontalPosition","verticalPosition","date","wssShortRadMean","wssShortRadMinimum","wssShortRadMaximum","wssShortRadVariance","wssShortRadStdErMean","wssShortRadNumPts","shortRadQF"
"D01","HARV","000","060","2018-02-28",307.32,-1.52,888.45,64286.08,1.31,37593,1
"D01","HARV","000","060","2018-03-01",142.51,-1.77,736.96,43776.6,0.71,86400,0
"D01","HARV","000","060","2018-03-02",16.82,-1.08,101.09,559.29,0.08,86400,0
"D01","HARV","000","060","2018-03-03",76.63,-1.04,562.6,10888.87,0.36,86400,0
"D01","HARV","000","060","2018-03-04",60.18,-0.76,758.02,7645.94,0.3,86400,0
"D01","HARV","000","060","2018-03-05",122.76,-1.28,1010.99,38727.58,0.67,86400,0
"D01","HARV","000","060","2018-03-06",214.4,-1.52,1069.06,84405.43,0.99,86400,0
"D01","HARV","000","060","2018-03-07",26.04,-1.35,223.39,1909.58,0.15,86400,0
"D01","HARV","000","060","2018-03-08",76.54,-0.88,957.75,19003.04,0.47,86400,0
"D01","HARV","000","060","2018-03-09",91.59,-1.38,1100.35,19977.65,0.48,86400,0
"D01","HARV","000","060","2018-03-10",125.01,-1.45,1141.52,37256.6,0.66,86400,0
"D01","HARV","000","060","2018-03-11",184.22,-1.52,1147.41,67912.45,0.89,86400,0
"D01","HARV","000","060","2018-03-12",132.7,-1.51,979.36,47002.57,0.74,85941,0
"D01","HARV","000","060","2018-03-13",32.33,-0.58,132.05,1849.64,0.15,86400,0
"D01","HARV","000","060","2018-03-14",75.77,-1.22,340.39,9171.59,0.33,86386,0
"D01","HARV","000","060","2018-03-15",168.66,-1.28,1206.47,65074.05,0.87,86400,0
"D01","HARV","000","060","2018-03-16",170.86,-1.51,1222.53,54952.68,0.8,86400,0
"D01","HARV","000","060","2018-03-17",196.07,-1.49,1135.29,76738.27,0.94,86400,0
"D01","HARV","000","060","2018-03-18",247.54,-1.61,827,98353.52,1.07,86400,0
"D01","HARV","000","060","2018-03-19",251.2,-1.63,836.22,100819.86,1.08,86399,0
"D01","HARV","000","060","2018-03-20",207.75,-1.61,962.09,75988.06,0.94,86400,0
"D01","HARV","000","060","2018-03-21",81.84,-1.4,434.11,12047.25,0.37,86400,0
"D01","HARV","000","060","2018-03-22",151.24,-1.45,948.38,38993.91,0.67,86400,0
"D01","HARV","000","060","2018-03-23",171.01,-1.45,763.85,55337.61,0.8,86400,0
"D01","HARV","000","060","2018-03-24",193.09,-1.4,1273.3,77120.96,0.94,86400,0
"D01","HARV","000","060","2018-03-25",193.65,-1.42,1247.3,84241.61,0.99,86400,0
"D01","HARV","000","060","2018-03-26",138.36,-1.67,746.71,48248.77,0.83,69553,0
"D01","HARV","000","060","2018-03-27",141.15,-1.63,803.48,50070.07,0.82,75274,0
"D01","HARV","000","060","2018-03-28",197.06,-2.04,1188.76,79149.45,0.96,86400,0
"D01","HARV","000","060","2018-03-29",79.35,-1.63,458.34,12807.36,0.39,86361,0
"D01","HARV","000","060","2018-03-30",36.12,-0.96,269.78,2701.66,0.18,86400,0
"D01","HARV","000","060","2018-03-31",273.55,-1.83,877.59,112646.54,1.14,86400,0
"D01","HARV","000","060","2018-04-01",175.44,-1.74,962.41,57175.84,0.81,86400,0
